Demanda;periodomediodeviaje;paraderosubida;paraderobajada;netapa;serv_1era_etapa;t_1era_etapa;tespera_1era_etapa;ttrasbordo_1era_etapa;tcaminata_1era_etapa;serv_2da_etapa;t_2da_etapa;tespera_2da_etapa;ttrasbordo_2da_etapa;tcaminata_2da_etapa;serv_3era_etapa;t_3era_etapa;tespera_3era_etapa;ttrasbordo_3era_etapa;tcaminata_3era_etapa;serv_4ta_etapa;t_4ta_etapa
1.2989;04 - PUNTA MANANA;ALCANTARA;L-30-58-20-OP;2;L1;41.2833;-3.2766;-2.2;1.0766;T228 00I;38.05;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-31-14-5-NS;2;L1;-;-;-;-;T508 01I;18.25;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-32-19-70-PO;2;L1;26.2167;2.9609;6.05;3.0891;T508 07I;5.1167;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;L-33-14-40-PO;2;L1;38.9667;0.6122;1.2333;0.6211;T352 00I;8.5667;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-33-24-30-OP;2;L1;40.4833;5.3488;6.5667;1.2178;T359 00I;19.8167;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-33-57-45-OP;2;L1;37.4667;10.4884;11.6667;1.1782;T226 06R;7.3833;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-34-24-4-NS;2;L1;42.1;10.2104;11;0.7896;F23 00R;4.8167;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-34-24-4-NS;2;L1;42.1;2.2271;3.0167;0.7896;F08 00R;8.45;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-34-25-5-NS;2;L1;42.1;-1.3896;-0.6;0.7896;F05 00R;10.75;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;L-34-41-75-PO;2;L1;42.1;5.3989;6.05;0.6511;F23 00I;6.7167;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;L-34-68-25-NS;2;L1;42.1;3.4534;4.25;0.7966;F14 00I;14.6;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-34-72-20-NS;2;L1;48;-0.6449;-0.5;0.1449;F10 00R;16.9833;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;L-34-72-20-NS;2;L1;48;-2.1782;-2.0333;0.1449;F10 00R;14.15;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-34-72-20-NS;2;L1;48;4.5718;4.7167;0.1449;F10 00R;18.4833;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-34-85-1-SN;2;L1;46;1.2018;3.8167;2.6149;F26 00R;10.4333;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-34-89-2-PO;2;L1;42.1;-1.6729;-0.8833;0.7896;F27 00R;15.6167;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-34-89-2-PO;2;L1;42.1;3.2271;4.0167;0.7896;F08 00R;14.4;-;-;-;-;-;-;-;-;-;-
2.5346;04 - PUNTA MANANA;ALCANTARA;BELLAVISTA DE LA FLORIDA;1;L1;33.05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
30.4649;04 - PUNTA MANANA;ALCANTARA;CAMINO AGRICOLA;1;L1;26.5833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11.735399999999998;04 - PUNTA MANANA;ALCANTARA;DEPARTAMENTAL;1;L1;34.4833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.4426;04 - PUNTA MANANA;ALCANTARA;E-5-30-OP-20;2;L1;7.2833;4.6679;5.2;0.5321;B80 00R;18.8;-;-;-;-;-;-;-;-;-;-
19.0506;04 - PUNTA MANANA;ALCANTARA;EL GOLF;1;L1;1.35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
27.6322;04 - PUNTA MANANA;ALCANTARA;EL LLANO;1;L1;30.55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11.4201;04 - PUNTA MANANA;ALCANTARA;ELISA CORREA;1;L1;40.4833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
67.0175;04 - PUNTA MANANA;ALCANTARA;ESTACION CENTRAL;1;L1;21.9667;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;Estacion Pedro Aguirre Cerda;2;L1;29.2667;3.3259;4.9167;1.5908;-;2;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;21.9667;-0.3284;1.8333;2.1618;-;16.6167;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;21.9667;-0.5451;1.6167;2.1618;-;16.6167;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;21.9667;-0.7284;1.4333;2.1618;-;16.6167;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;21.9667;-1.2951;0.8667;2.1618;-;16.6167;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;29.2667;6.3259;7.9167;1.5908;-;13.05;-;-;-;-;-;-;-;-;-;-
80.02649999999998;04 - PUNTA MANANA;ALCANTARA;HERNANDO DE MAGALLANES;1;L1;6.75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
73.8566;04 - PUNTA MANANA;ALCANTARA;HOSPITALES;1;L1;25.6667;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;L-10-42-50-OP;2;L1;30.5;10.0448;10.95;0.9052;T538 00R;13.45;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-10-48-40-OP;2;L1;13.5167;16.014;17.5667;1.5527;T543 00R;44.8167;-;-;-;-;-;-;-;-;-;-
1.4051;04 - PUNTA MANANA;ALCANTARA;L-11-16-110-OP;2;L1;32.6333;-1.3206;0.1167;1.4373;T524 00I;18.4333;-;-;-;-;-;-;-;-;-;-
1.3251;04 - PUNTA MANANA;ALCANTARA;L-11-16-110-OP;2;L1;32.6333;2.2627;3.7;1.4373;T524 00I;18.2167;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;L-11-17-5-SN;2;L1;32.6333;-1.3706;0.0667;1.4373;T524 00I;16.35;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;L-13-31-45-PO;2;L1;26.6;8.554;8.9833;0.4293;T378 01R;36.9167;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-13-31-45-PO;2;L1;28.3333;-0.8034;-0.7167;0.0868;T378 01R;32.4333;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;L-13-31-45-PO;2;L1;28.3333;11.6444;11.7;0.0556;T378 01R;34.5833;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-15-12-50-PO;2;L1;1.7333;11.582;11.6667;0.0846;B72 00I;18.4167;-;-;-;-;-;-;-;-;-;-
197.44600000000008;04 - PUNTA MANANA;ALCANTARA;BAQUEDANO;1;L1;10.6667;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5.108499999999999;04 - PUNTA MANANA;ALCANTARA;BIO BIO;1;L1;22.75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
17.81;04 - PUNTA MANANA;ALCANTARA;CAL Y CANTO;1;L1;23.7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2.5132;04 - PUNTA MANANA;ALCANTARA;CARDENAL CARO;1;L1;32.4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12.5846;04 - PUNTA MANANA;ALCANTARA;CERRILLOS;1;L1;31.7833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5.0407;04 - PUNTA MANANA;ALCANTARA;CHILE ESPANA;1;L1;21.9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;E-5-30-OP-20;2;L1;20.5833;7.6741;10.2833;2.6092;T548 00R;12.4333;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;E-5-30-OP-20;2;L1;8.8333;1.6689;3.0667;1.3978;B80 00R;22.95;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;E-5-30-OP-20;2;L1;8.8333;2.3131;3.6667;1.3536;B80 00R;18.9;-;-;-;-;-;-;-;-;-;-
16.4344;04 - PUNTA MANANA;ALCANTARA;EINSTEIN;1;L1;32.8333;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3.8518999999999997;04 - PUNTA MANANA;ALCANTARA;EL PARRON;1;L1;39.1667;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130.61470000000003;04 - PUNTA MANANA;ALCANTARA;ESCUELA MILITAR;1;L1;1.7333;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;Estacion Freire;2;L1;21.9667;-0.9784;1.1833;2.1618;-;15.25;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;Estacion Lo Blanco;2;L1;21.9667;-1.5284;0.6333;2.1618;-;13.3167;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;Estacion Lo Espejo;2;L1;21.9667;3.2049;5.3667;2.1618;-;8.1667;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;FERNANDO CASTILLO VELASCO;1;L1;27.95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
36.7757;04 - PUNTA MANANA;ALCANTARA;IRARRAZAVAL ;1;L1;23.7333;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;L-11-23-10-OP;2;L1;30.5;7.5117;8.8167;1.3049;T533 C0 00I;6.3;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-13-108-15-NS;2;L1;17.7333;4.9811;7.4833;2.5022;T545 01R;55.4667;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-13-15-95-OP;2;L1;28.3333;14.9378;15.3667;0.4289;T379 E0 00R;38.8167;-;-;-;-;-;-;-;-;-;-
1.3251;04 - PUNTA MANANA;ALCANTARA;L-13-24-5-PO;2;L1;47.6667;2.0859;3.3333;1.2475;T374 C0 00R;11;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;L-13-31-45-PO;2;L1;28.3333;-0.7338;-0.6;0.1338;T378 01R;25.95;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-13-72-35-OP;2;L1;21.9667;5.5997;6.3333;0.7337;T380 00R;25.35;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-13-92-20-SN;2;L1;47.6667;4.4359;5.6833;1.2475;T381 00R;26.5;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-15-12-50-PO;2;L1;1.7333;12.9743;13.15;0.1757;B72 00I;20.4833;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-15-13-5-SN;2;L1;1.7333;19.1887;22.4833;3.2947;B64 00I;25.85;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;BARRANCAS;1;L1;34.7833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
21.5794;04 - PUNTA MANANA;ALCANTARA;BELLAS ARTES;1;L1;17.8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;CARLOS VALDOVINOS;1;L1;25.35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10.1844;04 - PUNTA MANANA;ALCANTARA;CRISTOBAL COLON;1;L1;10.7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
21.6634;04 - PUNTA MANANA;ALCANTARA;CUMMING;1;L1;22.1833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;DORSAL;1;L1;34.3167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
40.796;04 - PUNTA MANANA;ALCANTARA;ECUADOR;1;L1;26.6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;Estacion Lo Blanco;2;L1;21.9667;-0.7118;1.45;2.1618;-;13.3167;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;Estacion Lo Blanco;2;L1;21.9667;-0.8284;1.3333;2.1618;-;13.3167;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;Estacion Pedro Aguirre Cerda;2;L1;21.9667;1.0716;3.2333;2.1618;-;5.5667;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;Estacion Pedro Aguirre Cerda;2;L1;21.9667;-1.1951;0.9667;2.1618;-;5.5667;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;21.9667;-0.1284;2.0333;2.1618;-;16.6167;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;21.9667;0.5216;2.6833;2.1618;-;16.6167;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;21.9667;-1.9784;0.1833;2.1618;-;16.6167;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;29.2667;2.0425;3.6333;1.5908;-;13.05;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;Estacion San Bernardo;2;L1;29.2667;9.7592;11.35;1.5908;-;13.05;-;-;-;-;-;-;-;-;-;-
12.834;04 - PUNTA MANANA;ALCANTARA;ESTADIO NACIONAL;1;L1;16.8167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
18.9874;04 - PUNTA MANANA;ALCANTARA;FRANKLIN;1;L1;24.25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
35.5672;04 - PUNTA MANANA;ALCANTARA;HOSPITAL SOTERO DEL RIO;1;L1;42.1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
46.911;04 - PUNTA MANANA;ALCANTARA;INES DE SUAREZ;1;L1;12.5833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-10-48-40-OP;2;L1;13.5167;11.2325;12.6167;1.3842;T543 06R;42.05;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;L-10-48-40-OP;2;L1;13.5167;8.7876;10.2333;1.4457;T543 07R;39.1833;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-10-74-5-NS;2;L1;30.3167;0.9209;2.65;1.7291;T532 00I;18.2667;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-10-74-5-NS;2;L1;30.3167;9.8542;11.5833;1.7291;T532 00I;17.2667;-;-;-;-;-;-;-;-;-;-
1.6071;04 - PUNTA MANANA;ALCANTARA;L-11-16-110-OP;2;L1;32.6333;1.5627;3;1.4373;T524 00I;16.8333;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-11-23-10-OP;2;L1;30.5;0.0284;1.3333;1.3049;T533 C0 00I;8.3333;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;L-15-6-60-PO;2;L1;1.7333;11.8265;12.0167;0.1902;B61 00I;18.1833;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-16-10-10-SN;2;L1;1.7333;10.022;13.3167;3.2947;B64 00I;44.9333;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-16-10-40-SN;2;L1;2.7333;1.1523;3.7667;2.6144;B60 E0 00I;36.2167;-;-;-;-;-;-;-;-;-;-
1.2805;04 - PUNTA MANANA;ALCANTARA;L-17-15-15-PO;2;L1;4.5;4.5764;6.2167;1.6403;T407 00I;26.0167;-;-;-;-;-;-;-;-;-;-
1.2989;04 - PUNTA MANANA;ALCANTARA;L-19-1-5-PO;2;L1;14.6667;14.9402;15.7333;0.7932;T412 06I;6.2333;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-21-14-10-OP;2;L1;29.8;4.1623;5.3;1.1377;T344 00I;10.1;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-21-25-30-OP;2;L1;29.8;-0.6058;0.4667;1.0724;T344 00I;6.3;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-2-21-75-OP;2;L1;35.5833;17.5844;18.1833;0.599;B01 00I;4.0333;-;-;-;-;-;-;-;-;-;-
1.2541;04 - PUNTA MANANA;ALCANTARA;L-24-6-5-PO;2;L1;41.2833;2.79;3.8667;1.0766;F05 00I;12.9;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-27-13-15-PO;2;L1;41.2833;-2.8933;-1.8167;1.0766;T235 00R;22.2667;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-30-58-20-OP;2;L1;41.2833;0.8567;1.9333;1.0766;T228 00I;46.9833;-;-;-;-;-;-;-;-;-;-
1.247;04 - PUNTA MANANA;ALCANTARA;L-30-58-20-OP;2;L1;41.2833;-3.16;-2.0833;1.0766;T228 00I;42;-;-;-;-;-;-;-;-;-;-
1.2566;04 - PUNTA MANANA;ALCANTARA;L-32-22-60-PO;2;L1;20.8333;5.8075;6.3667;0.5592;T510 00I;14;-;-;-;-;-;-;-;-;-;-
